MONTH,DAY,YEAR,Chennai,Kolkata,Delhi,Mumbai
1,1,1995,72.4,63,50.7,78.1
1,2,1995,73.5,61.4,52.1,72
1,3,1995,72.6,60.6,53.8,70.3
1,4,1995,75.2,61.3,53.7,69.7
1,5,1995,74.8,62.3,54.5,71.3
1,6,1995,76.4,66.6,54.3,73.9
1,7,1995,78.4,66.8,57.1,72.9
1,8,1995,78.6,66.9,55.6,70.2
1,9,1995,78.1,62.7,54,68.4
1,10,1995,79.3,66.8,52.4,68
1,11,1995,77.9,67,54.8,69.9
1,12,1995,79,63.9,54.5,69.8
1,13,1995,73.4,63.2,55.5,71
1,14,1995,76.7,59.8,56.4,73.9
1,15,1995,73.7,61.7,55.8,73.4
1,16,1995,77,67,56.4,70.4
1,17,1995,71.1,66,53.7,74.9
1,18,1995,72.6,67.5,53.7,74.5
1,19,1995,76.1,64.6,54.5,73
1,20,1995,75.7,62.8,56,71.9
1,21,1995,74.2,64.9,56.3,71.3
1,22,1995,74.3,65.2,53.7,73.3
1,23,1995,74.8,63.9,53.6,71.4
1,24,1995,75.1,62.6,55.5,71.3
1,25,1995,75,61.3,58,70.2
1,26,1995,76.7,62.8,58.3,73
1,27,1995,75.8,65.3,59.8,73.8
1,28,1995,74.7,66,61.4,77.5
1,29,1995,75.1,65.2,60.3,76.8
1,30,1995,77.2,68.2,56.8,76.1
1,31,1995,77.9,67.3,58.8,78.3
2,1,1995,77.9,63.2,58,78.9
2,2,1995,76.8,66,57,78.3
2,3,1995,78.2,69.9,58.3,73.3
2,4,1995,78.2,68.1,58.5,74.7
2,5,1995,78.9,68.3,58.3,77.3
2,6,1995,78.8,68,58.5,80.2
2,7,1995,76.9,66.8,62.7,83.2
2,8,1995,76.8,69.8,65,81
2,9,1995,77.8,70.2,66.3,78.8
2,10,1995,77.9,73.3,67.6,77.8
2,11,1995,77.7,72.8,66.5,76.8
2,12,1995,77.1,74.5,68.4,75.9
2,13,1995,76.6,79.7,69.1,75.7
2,14,1995,76.9,78.4,66.8,74.1
2,15,1995,77.3,73.7,62.4,73.4
2,16,1995,79.7,69.6,62.5,74.5
2,17,1995,80.9,71.1,63.5,75.3
2,18,1995,81.9,73.8,66.6,72.3
2,19,1995,81.9,71.4,64,73.1
2,20,1995,81.2,72.5,64.9,76.9
2,21,1995,80.2,76.7,62.1,77.9
2,22,1995,80.2,75.6,53.8,74.6
2,23,1995,79.5,75.1,54.2,76.2
2,24,1995,80.6,70.6,58.3,72.3
2,25,1995,79.8,68.7,59.7,76.1
2,26,1995,78.7,72.2,65.8,76.2
2,27,1995,81,71.1,64.6,75.3
2,28,1995,80.2,75.5,62.9,73.9
3,1,1995,80.3,77.2,61.7,74.2
3,2,1995,80.6,76,61.4,77.1
3,3,1995,80.8,77.4,61.5,79.6
3,4,1995,80.6,75.4,60.9,78.8
3,5,1995,82.4,72.6,63.7,78.7
3,6,1995,81.2,79.6,63.3,77.5
3,7,1995,79.6,73.5,64.7,77
3,8,1995,80.4,76.9,65.9,76.5
3,9,1995,80.2,76.9,68.1,76
3,10,1995,80.7,75.1,64.3,78
3,11,1995,82.1,72.1,63.1,78.1
3,12,1995,82.2,77.5,67.1,81.2
3,13,1995,81.5,76,68.5,78.8
3,14,1995,82,77.1,69.1,79.8
3,15,1995,81.4,80.2,68.8,79.9
3,16,1995,81.8,82.4,74.5,80.7
3,17,1995,81,81.6,74.5,78.7
3,18,1995,82.5,83.3,76.3,77.6
3,19,1995,83.8,84.4,76.1,79.2
3,20,1995,82.4,86.2,76.5,81
3,21,1995,81.6,86.9,74.8,86.5
3,22,1995,81.8,85.1,76.3,85.3
3,23,1995,83.7,84.2,81.8,83.7
3,24,1995,83.3,87.8,82.3,82.1
3,25,1995,84,86.4,75.4,80.8
3,26,1995,84.2,85.6,71.9,78.8
3,27,1995,82.6,81.3,73.1,78.4
3,28,1995,84.2,79.5,78.1,78
